player_name,TEAM,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,pid,type,drtg,adrtg,dporpag,stops,mp,oreb,dreb,treb,ast,stl,blk,pts
Monty Bowser,California,P12,16,7.5,74.0,12.9,26.7,30.44,4.4,3.1,11.6,16.7,2,3,0.667,4,10,0.4,0,5,0.0,0.0,2.9,20.0,So,6-Jun,-0.296917,68.9573,1.9,2022,72614,all,106.888,100.153,0.493749,13.5703,6.0,0.1765,0.1176,0.2941,0.3529,0.2941,0.0,0.8235
Griff Hopkins,Washington,P12,2,0.2,52.4,28.3,0.0,0.0,0.0,0.0,81.1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,So,4-Jun,-0.0947648,57.946,0.0,2022,72695,all,120.038,115.142,0.042034,0.176506,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Rollie Worster,Utah,P12,25,61.7,96.4,20.7,45.6,49.26,3.1,12.3,24.4,24.6,37,47,0.787,61,125,0.488,21,78,0.269,1.0,1.8,23.2,So,3-Jun,1.24746,98.2622,3.3,2022,72704,all,93.0238,91.486,3.4307,127.669,27.6154,0.8077,3.0,3.8077,3.5769,0.9231,0.2308,8.9615
Max Murrell,Stanford,P12,21,15.1,105.0,15.1,53.3,63.83,4.0,8.8,4.6,25.3,16,16,1.0,13,21,0.619,2,9,0.222,4.8,1.7,53.3,So,9-Jun,0.453234,102.173,4.1,2022,72763,all,99.8121,93.9694,0.891796,30.4864,7.9048,0.2381,0.619,0.8571,0.1905,0.2381,0.3333,2.2857
Michael O'Connell,Stanford,P12,25,60.5,104.9,15.4,51.6,56.3,2.2,10.8,20.2,21.9,37,47,0.787,47,90,0.522,12,36,0.333,0.5,2.8,37.3,So,2-Jun,1.59771,102.885,2.2,2022,72766,all,98.9654,93.049,3.1001,126.662,26.64,0.44,2.56,3.0,2.84,1.28,0.12,6.68
Gabe Reichle,Oregon,P12,4,0.9,114.6,11.1,75.0,60.61,0.0,0.0,0.0,0.0,0,1,0.0,0,1,0.0,1,1,1.0,0.0,5.9,50.0,So,2-Jun,0.131231,100.383,8.0,2022,72781,all,98.7348,98.3397,0.250847,2.01513,2.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75
Marcus Bagley,Arizona St.,P12,12,34.7,103.5,19.2,50.5,53.63,5.6,18.9,7.5,13.1,23,32,0.719,16,34,0.471,25,72,0.347,1.6,1.4,30.2,So,8-Jun,2.21919,107.411,3.9,2022,72858,all,105.198,98.2246,2.9079,66.8262,29.1667,1.5,4.6667,6.1667,1.1667,0.75,0.4167,10.8333
Boubacar Coulibaly,USC,P12,15,3.4,105.1,20.1,71.4,71.43,10.5,11.7,4.8,31.9,0,0,0.0,10,14,0.714,0,0,0.0,4.5,2.6,0.0,So,10-Jun,0.280882,111.651,7.0,2022,72873,all,92.9188,87.6482,0.421477,9.64849,3.0667,0.2667,0.3333,0.6,0.0667,0.1333,0.1333,1.3333
Efe Abogidi,Washington St.,P12,27,59.4,106.4,19.1,53.6,59.03,10.5,22.9,3.4,21.2,60,74,0.811,68,114,0.596,15,55,0.273,5.8,1.8,43.8,So,10-Jun,1.96414,109.091,4.6,2022,73037,all,90.5783,86.2532,3.3788,153.139,24.4074,2.2963,4.9259,7.2222,0.3704,0.7407,1.3333,8.9259
Will Loughlin,Colorado,P12,2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Jr,10-Jun,-0.483851,-7.70309,0.0,2022,73068,all,106.408,100.984,0.136744,0.331994,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJ Bamba,Washington St.,P12,23,28.2,91.8,17.9,57.1,59.93,2.9,10.5,9.7,32.1,17,23,0.739,22,50,0.44,12,20,0.6,0.7,1.9,32.9,So,5-Jun,0.320294,92.2596,4.6,2022,73140,all,97.9195,93.7425,1.53259,54.641,13.6087,0.3478,1.2609,1.6087,0.6087,0.4348,0.087,4.2174
Jack Jamele,Utah,P12,1,0.2,0.0,0.0,0.0,0.0,0.0,59.6,77.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,55.0,0.0,0.0,So,5-Jun,-0.644949,-7.6763,0.0,2022,73146,all,60.6799,57.2959,0.485521,0.99616,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
Grant Weitman,Arizona,P12,5,0.7,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,So,4-Jun,-0.450608,-7.50004,0.0,2022,73185,all,104.698,103.637,0.114742,1.03354,1.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0
Dishon Jackson,Washington St.,P12,24,44.0,100.0,19.4,48.4,53.56,8.0,15.6,2.7,17.9,52,77,0.675,60,124,0.484,0,0,0.0,4.8,1.1,62.1,So,10-Jun,1.24159,103.403,5.3,2022,73354,all,95.3023,90.0122,2.54815,95.2487,20.3333,1.4583,2.7917,4.25,0.25,0.375,0.9167,7.1667
Pelle Larsson,Arizona,P12,25,65.8,98.8,19.3,55.9,62.39,1.9,12.4,19.2,30.7,53,60,0.883,38,81,0.469,25,54,0.463,2.0,1.5,44.4,So,5-Jun,1.63576,103.155,3.8,2022,73366,all,103.38,97.4105,2.7275,115.645,26.6,0.4,2.76,3.16,2.84,0.68,0.48,8.16
Dusan Mahorcic,Utah,P12,22,55.0,102.9,23.5,59.4,58.02,12.7,21.3,9.3,20.8,40,80,0.5,87,148,0.588,1,1,1.0,1.5,2.0,53.7,Sr,10-Jun,1.88364,107.916,3.1,2022,73375,all,102.796,102.041,2.09594,107.08,24.3636,2.6818,4.5,7.1818,1.0455,0.8182,0.3182,9.8636
Andrej Jakimovski,Washington St.,P12,25,56.8,87.5,15.7,42.5,43.77,4.4,14.1,14.0,23.5,12,20,0.6,13,44,0.295,33,103,0.32,0.7,0.7,13.6,So,8-Jun,-0.0452674,84.7226,2.4,2022,73393,all,99.3025,95.1184,2.72836,103.12,25.2,1.0,3.12,4.12,1.76,0.32,0.16,5.48
Jalen Celestine,California,P12,21,24.2,104.6,13.9,54.0,56.62,5.9,11.6,9.9,20.9,8,10,0.8,9,22,0.409,12,28,0.429,1.2,1.3,20.0,So,6-Jun,0.721134,101.36,4.4,2022,73474,all,106.864,99.2647,1.25343,43.8302,12.7727,0.5909,1.1364,1.7273,0.5909,0.2727,0.1364,2.8182
Bennedict Mathurin,Arizona,P12,26,61.9,121.6,18.7,57.2,62.49,5.8,16.3,9.2,14.5,66,78,0.846,50,96,0.521,38,91,0.418,0.3,1.6,41.7,So,7-Jun,3.41081,124.952,2.6,2022,73674,all,100.648,95.3686,2.73986,116.274,25.0,1.2308,3.5385,4.7692,1.1538,0.6923,0.0769,10.7692
Noah Taitz,Stanford,P12,24,32.5,77.5,15.7,42.1,44.88,1.8,6.9,4.7,24.7,11,15,0.733,18,40,0.45,11,42,0.262,0.0,2.1,18.3,So,3-Jun,-0.463837,76.2479,1.7,2022,73704,all,102.411,96.2299,1.5976,58.5725,14.9167,0.2083,0.9167,1.125,0.375,0.5417,0.0,3.3333
Brandon Angel,Stanford,P12,17,14.0,72.9,15.3,37.5,40.9,1.7,13.2,4.8,24.5,4,4,1.0,6,16,0.375,5,20,0.25,0.7,1.5,11.1,So,8-Jun,-0.424586,71.6493,4.9,2022,73716,all,100.525,94.1373,1.03345,27.4353,9.0588,0.1176,1.0588,1.1765,0.2353,0.2353,0.0588,1.8235
Dalen Terry,Arizona,P12,26,51.3,98.2,14.1,48.9,51.78,4.3,13.4,12.5,23.9,27,44,0.614,25,51,0.49,14,43,0.326,2.1,2.1,46.8,So,7-Jun,0.616249,93.9048,4.5,2022,73763,all,99.3756,94.163,2.35788,101.706,20.7308,0.7692,2.4231,3.1923,1.4615,0.7308,0.3846,4.5769
Azuolas Tubelis,Arizona,P12,26,66.1,104.0,24.7,52.6,56.24,11.3,19.4,9.8,20.8,74,107,0.692,102,189,0.54,13,42,0.31,2.6,1.3,46.3,So,11-Jun,2.74896,115.22,3.7,2022,73765,all,98.917,93.7285,3.0758,133.409,26.6923,2.5769,4.5,7.0769,1.2308,0.5769,0.6154,12.1923
Tautvilas Tubelis,Arizona,P12,5,0.9,42.3,14.0,0.0,16.95,0.0,12.8,0.0,0.0,1,2,0.5,0,0,0.0,0,2,0.0,0.0,0.0,100.0,So,7-Jun,-0.292238,38.4677,4.4,2022,73769,all,105.424,104.355,0.143038,1.27846,1.8,0.0,0.2,0.2,0.0,0.0,0.0,0.2
Kerr Kriisa,Arizona,P12,8,17.4,102.5,14.2,50.0,51.22,0.6,1.9,18.6,22.6,2,2,1.0,0,4,0.0,14,38,0.368,0.0,1.0,4.8,So,3-Jun,1.14641,99.6985,2.6,2022,73770,all,107.199,96.9234,2.40767,23.4897,22.875,0.125,0.375,0.5,2.375,0.375,0.0,5.5
Amar Ross,USC,P12,5,0.4,189.6,28.3,100.0,101.27,0.0,0.0,0.0,0.0,2,2,1.0,0,0,0.0,2,3,0.667,0.0,11.8,66.7,Sr,7-May,0.491892,227.011,0.0,2022,74145,all,80.7756,78.8954,0.167811,1.50654,1.0,0.0,0.0,0.0,0.0,0.2,0.0,1.6
Reese Waters,USC,P12,10,2.6,66.4,13.4,31.3,31.25,6.9,12.3,0.0,25.1,0,0,0.0,1,2,0.5,1,6,0.167,2.9,0.0,0.0,So,5-Jun,-0.273097,62.7694,6.9,2022,74185,all,99.2644,93.1238,0.414533,5.66663,3.5,0.2,0.4,0.6,0.0,0.0,0.1,0.5
Franck Kepnang,Oregon,P12,16,12.9,129.5,13.2,67.9,65.84,8.5,8.5,2.4,9.2,7,13,0.538,19,28,0.679,0,0,0.0,14.5,0.8,46.4,So,11-Jun,1.24673,124.901,6.1,2022,74203,all,99.5131,91.0356,1.13901,28.3658,9.0625,0.625,0.625,1.25,0.125,0.125,1.125,2.8125
Mac Etienne,UCLA,P12,13,11.0,99.1,15.1,60.0,55.37,10.2,21.2,3.8,22.4,4,12,0.333,15,25,0.6,0,0,0.0,1.6,0.8,48.0,So,9-Jun,0.52979,99.1117,3.6,2022,74218,all,101.246,92.8631,1.31502,26.1876,11.2308,0.9231,1.9231,2.8462,0.2308,0.1538,0.1538,2.6154
